"FileName","Extension","SizeKB","UsedOnAnyGrinsHtmlPage","ProposedCharacter","ProposedPageFile","ProposedSection","PageAlreadyExists","ProposedAction","ReviewNotes","FullPath"
"Freak Cat B&W.jpg",".jpg","296.8","False","Freak Cat","freak-cat.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Freak Cat B&W.jpg"
"Freak Cat COLOR.jpg",".jpg","440.2","False","Freak Cat","freak-cat.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Freak Cat COLOR.jpg"
"Freddy Funko Grin 2 B&W.jpg",".jpg","313.5","False","Freddy Funko Grin 2","freddy-funko-grin-2.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Freddy Funko Grin 2 B&W.jpg"
"Freddy Funko Grin 2 COLOR.jpg",".jpg","357","False","Freddy Funko Grin 2","freddy-funko-grin-2.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Freddy Funko Grin 2 COLOR.jpg"
"Freddy Funko Grin B&W.jpg",".jpg","323.9","False","Freddy Funko Grin","freddy-funko-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Freddy Funko Grin B&W.jpg"
"Freddy Funko Grin COLOR.jpg",".jpg","380.2","False","Freddy Funko Grin","freddy-funko-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Freddy Funko Grin COLOR.jpg"
"Garfield Grin B&W.jpg",".jpg","386.2","False","Garfield Grin","garfield-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Garfield Grin B&W.jpg"
"Garfield Grin COLOR.1.jpg",".jpg","194.2","False","Garfield Grin COLOR.1","garfield-grin-color-1.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Garfield Grin COLOR.1.jpg"
"Garfield Grin COLOR.jpg",".jpg","306.6","False","Garfield Grin","garfield-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Garfield Grin COLOR.jpg"
"George Jetson Grin B&W.jpg",".jpg","329.5","False","George Jetson Grin","george-jetson-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\George Jetson Grin B&W.jpg"
"George Jetson Grin COLOR.jpg",".jpg","343.9","False","George Jetson Grin","george-jetson-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\George Jetson Grin COLOR.jpg"
"Globe Grin ORIGINAL COLOR.jpg",".jpg","91.8","False","Globe Grin","globe-grin.html","Original Drawing","False","Likely create new page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Globe Grin ORIGINAL COLOR.jpg"
"Godzilla Heart Grin B&W.jpg",".jpg","401.4","False","Godzilla Heart Grin","godzilla-heart-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Godzilla Heart Grin B&W.jpg"
"Gorilla Grin 2 back B&W.jpg",".jpg","370.2","False","Gorilla Grin 2","gorilla-grin-2.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Gorilla Grin 2 back B&W.jpg"
"Gorilla Grin 2 Front B&W.jpg",".jpg","344.5","False","Gorilla Grin 2","gorilla-grin-2.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Gorilla Grin 2 Front B&W.jpg"
"Gorilla Grin 2 side COLOR.jpg",".jpg","316","False","Gorilla Grin 2","gorilla-grin-2.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Gorilla Grin 2 side COLOR.jpg"
