"Action","Page","Title","Section","FileName"
"Would add to existing page","marge-grin.html","Marge Grin","Digitized Versions","Marge Grin right side B&W.jpg"
"Would add to existing page","marge-grin.html","Marge Grin","Digitized Versions","Marge Grin right side COLOR.jpg"
"Would add to existing page","mario-grin.html","Mario Grin","Digitized Versions","Mario Grin front B&W.jpg"
"Would add to existing page","mario-grin.html","Mario Grin","Digitized Versions","Mario Grin front COLOR.jpg"
"Would add to existing page","mario-grin.html","Mario Grin","Digitized Versions","Mario Grin left side COLOR.jpg"
"Would create page","max-grin.html","Max Grin","Digitized Versions","Max Grin COLOR.jpg"
"Would create page","max-grin.html","Max Grin","Original Drawing","Max Grin ORIGINAL.jpg"
"Would create page","max-grin.html","Max Grin","Digitized Versions","Max Grin png.jpg"
"Would add to existing page","mc-grin.html","MC Grin","Digitized Versions","MC Grin B&W.jpg"
"Would add to existing page","mc-grin.html","MC Grin","Digitized Versions","MC Grin COLOR.jpg"
"Would add to existing page","mc-grin.html","MC Grin","Original Drawing","MC Grin ORIGINAL COLOR 2.png"
"Would add to existing page","mc-grin.html","MC Grin","Original Drawing","MC Grin ORIGINAL COLOR.jpg"
"Would add to existing page","mc-supersized-grin.html","MC Supersized Grin","Digitized Versions","MC Supersized Grin B&W.jpg"
"Would add to existing page","mc-supersized-grin.html","MC Supersized Grin","Digitized Versions","MC Supersized Grin COLOR.jpg"
"Would add to existing page","mc-supersized-grin.html","MC Supersized Grin","Digitized Versions","MC Supersized Grin side COLOR.jpg"
"Would add to existing page","mc-supersized-grin-2.html","MC Supersized Grin 2","Digitized Versions","MC Supersized Grin 2 B&W.jpg"
"Would add to existing page","mc-supersize-grin-flying.html","MC Supersize Grin Flying","Digitized Versions","MC Supersize Grin Flying B&W.jpg"
"Would add to existing page","mc-supersize-grin-flying.html","MC Supersize Grin Flying","Digitized Versions","MC Supersize Grin Flying COLOR.1.jpg"
"Would add to existing page","mc-supersize-grin-flying.html","MC Supersize Grin Flying","Digitized Versions","MC Supersize Grin Flying COLOR.jpg"
"Would add to existing page","melting-monster-grin.html","Melting Monster Grin","Digitized Versions","Melting Monster Grin B&W.jpg"
"Would add to existing page","melting-monster-grin.html","Melting Monster Grin","Digitized Versions","Melting Monster Grin COLOR.jpg"
"Would add to existing page","mentadusa.html","Mentadusa","Digitized Versions","Mentadusa COLOR.jpg"
"Would add to existing page","mickey-grin.html","Mickey Grin","Original Drawing","Mickey Grin ORIGINAL COLOR.jpg"
"Would add to existing page","mickey-mouse-grin.html","Mickey Mouse Grin","Digitized Versions","Mickey Mouse Grin back B&W.jpg"
"Would add to existing page","mickey-mouse-grin.html","Mickey Mouse Grin","Digitized Versions","Mickey Mouse Grin COLOR.png"
